response_id,department,tenure,level,submission_date,Engagement_Q1,Engagement_Q2,Engagement_Q3,Satisfaction_Q1,Satisfaction_Q2,Satisfaction_Q3,Leadership_Q1,Leadership_Q2,Leadership_Q3,Growth_Q1,Growth_Q2,Growth_Q3,Culture_Q1,Culture_Q2,Culture_Q3,Wellbeing_Q1,Wellbeing_Q2,Wellbeing_Q3
R2025-0208,Finance,1-2 years,Individual Contributor,2025-01-16,3,4,3,3,2,4,2,4,4,3,3,3,4,3,5,3,4,3
R2025-0209,Engineering,<1 year,Senior IC,2025-01-14,5,4,1,3,4,4,5,4,3,4,3,3,5,5,4,4,2,5
R2025-0210,Operations,3-5 years,VP+,2025-01-14,4,3,4,4,2,3,1,3,3,2,2,2,4,3,3,3,3,4
R2025-0211,Sales,1-2 years,Individual Contributor,2025-01-14,4,2,3,4,5,3,4,3,4,3,3,4,4,4,3,3,3,3
R2025-0212,IT,3-5 years,VP+,2025-01-12,3,4,3,3,4,2,3,2,2,2,3,4,4,4,4,4,2,3
R2025-0213,Operations,<1 year,Individual Contributor,2025-01-08,4,4,3,3,3,4,3,2,3,4,3,3,4,1,2,3,2,4
R2025-0214,Sales,<1 year,VP+,2025-01-12,4,4,4,5,4,2,4,4,3,4,2,3,4,4,4,2,4,3
R2025-0215,Legal,10+ years,Individual Contributor,2025-01-08,3,3,4,3,3,5,4,5,3,3,4,4,4,4,4,4,3,3
R2025-0216,Engineering,3-5 years,Director,2025-01-13,4,3,4,3,2,4,2,5,3,3,3,4,4,4,3,3,2,3
R2025-0217,HR,5-10 years,Senior IC,2025-01-17,4,5,3,4,4,3,2,3,3,3,4,4,4,3,5,2,3,3
R2025-0218,Sales,1-2 years,VP+,2025-01-10,2,3,3,2,3,1,2,2,2,3,5,4,4,3,3,2,3,3
R2025-0219,Operations,3-5 years,Individual Contributor,2025-01-07,3,3,3,3,3,3,2,3,1,2,2,2,3,3,3,4,4,4
R2025-0220,Sales,3-5 years,VP+,2025-01-07,2,4,2,4,4,2,3,3,2,2,3,1,4,4,3,3,3,4
R2025-0221,Sales,3-5 years,Individual Contributor,2025-01-15,3,3,3,2,4,4,2,3,2,2,3,3,3,4,5,5,2,3
R2025-0222,Finance,3-5 years,Individual Contributor,2025-01-19,3,4,2,4,3,3,3,4,4,3,4,3,3,4,5,3,1,3
R2025-0223,Finance,<1 year,Individual Contributor,2025-01-09,4,3,4,2,3,4,1,2,3,3,3,4,3,4,4,5,4,4
R2025-0224,Sales,3-5 years,Director,2025-01-11,3,3,4,2,2,2,2,2,3,2,3,3,4,3,4,2,4,2
R2025-0225,Marketing,3-5 years,VP+,2025-01-15,5,3,3,3,3,3,2,3,3,3,2,1,5,4,3,3,2,4
R2025-0226,Sales,<1 year,Individual Contributor,2025-01-13,3,3,3,3,2,3,3,3,2,3,3,3,3,3,4,3,3,2
R2025-0227,Customer Support,<1 year,Director,2025-01-12,2,3,3,4,4,3,4,3,3,3,3,3,4,3,2,4,3,2
R2025-0228,Engineering,1-2 years,Manager,2025-01-20,5,5,4,4,4,3,3,3,3,3,2,3,3,4,5,3,3,3
R2025-0229,Legal,3-5 years,Individual Contributor,2025-01-08,4,4,3,3,2,4,4,4,2,2,3,4,3,5,2,5,2,3
R2025-0230,Finance,3-5 years,Manager,2025-01-14,4,4,5,3,3,3,4,3,2,3,4,3,3,4,5,3,3,3
R2025-0231,Marketing,5-10 years,VP+,2025-01-06,5,3,4,4,3,4,3,2,2,2,3,3,3,3,3,4,3,3
R2025-0232,Customer Support,<1 year,Manager,2025-01-16,4,2,3,4,2,3,5,3,4,4,3,2,1,3,4,3,4,2
R2025-0233,Finance,5-10 years,Senior IC,2025-01-12,3,5,4,2,3,3,3,3,5,4,2,2,3,3,4,3,4,4
R2025-0234,Sales,3-5 years,Manager,2025-01-13,3,3,4,2,3,3,4,3,3,3,2,4,5,3,5,4,5,3
R2025-0235,Operations,3-5 years,VP+,2025-01-13,4,3,3,2,4,2,1,4,2,2,2,2,4,3,2,3,3,2
R2025-0236,Product,1-2 years,Director,2025-01-06,3,3,4,3,3,4,3,5,2,4,3,3,3,4,4,3,3,3
R2025-0237,Customer Support,10+ years,Director,2025-01-14,4,4,3,3,2,2,3,3,3,4,4,2,3,3,4,3,2,3
R2025-0238,HR,3-5 years,Manager,2025-01-15,4,3,3,4,4,3,3,3,3,3,3,2,3,5,3,4,4,3
R2025-0239,Sales,<1 year,VP+,2025-01-10,4,3,2,3,2,3,3,4,2,3,3,3,4,3,2,2,3,3
R2025-0240,Engineering,3-5 years,Individual Contributor,2025-01-08,5,3,4,3,4,3,3,4,3,3,3,2,4,4,3,4,4,3
R2025-0241,Finance,1-2 years,Senior IC,2025-01-19,4,4,3,3,4,4,3,4,2,3,3,3,4,3,5,3,2,1
R2025-0242,IT,1-2 years,Manager,2025-01-19,3,4,4,3,4,4,2,3,2,3,2,2,4,4,5,3,4,4
R2025-0243,Customer Support,10+ years,Senior IC,2025-01-06,3,4,3,3,3,4,3,2,2,3,4,3,3,4,3,3,3,3
R2025-0244,Finance,10+ years,Senior IC,2025-01-20,3,4,4,4,2,4,4,2,4,2,4,4,3,3,4,3,2,3
R2025-0245,HR,<1 year,Individual Contributor,2025-01-10,4,3,3,4,4,4,3,3,3,3,4,2,4,4,4,3,4,3
R2025-0246,Product,1-2 years,Individual Contributor,2025-01-11,4,2,4,3,4,4,3,3,4,3,2,3,5,5,5,2,3,3
R2025-0247,IT,<1 year,Senior IC,2025-01-17,4,3,3,3,4,2,2,4,4,4,3,3,4,2,4,4,3,4
